,match_id,date_string,home_team_id,away_team_id,half_time_score,full_time_score,home_team_rating,home_accurate_pass,home_total_pass,home_blocked_scoring_att,home_ontarget_scoring_att,home_shot_off_target,home_won_corners,home_penalty_save,home_total_tackle,home_fk_foul_lost,home_total_throws,home_possession_percentage,away_team_rating,away_accurate_pass,away_total_pass,away_blocked_scoring_att,away_ontarget_scoring_att,away_shot_off_target,away_won_corners,away_penalty_save,away_total_tackle,away_fk_foul_lost,away_total_throws,away_possession_percentage,half_time_score_home,half_time_score_away,full_time_score_home,full_time_score_away,result_home
0,1190227,2017-09-09 17:30:00,96,32,1 : 1,2 : 2,6.94307692307692,252,332,1,5,4,5,0,19,10,13,36.8,6.74785714285714,490,564,5,8,5,11,0,9,10,24,63.2,1,1,2,2,0.0
0,1190214,2017-09-10 13:30:00,184,162,1 : 0,1 : 0,6.99285714285714,160,254,0,2,2,3,0,18,7,24,35.3,6.59769230769231,342,450,13,4,6,13,0,12,14,33,64.7,1,0,1,0,1.0
0,1190229,2017-09-10 16:00:00,259,23,0 : 0,0 : 1,6.71384615384615,424,525,1,4,5,8,0,14,11,21,61.8,7.04785714285714,240,329,5,8,3,5,0,21,15,14,38.2,0,0,0,1,-1.0
0,1190238,2017-09-11 20:00:00,29,166,0 : 0,2 : 0,7.15428571428571,216,311,6,3,10,10,0,21,11,27,43.5,6.38357142857143,330,426,7,2,1,3,0,19,14,20,56.5,0,0,2,0,1.0
0,1190241,2017-09-15 20:00:00,183,211,0 : 0,2 : 1,6.91857142857143,573,647,7,3,5,6,0,12,5,16,62.5,6.66538461538462,290,390,2,2,5,4,0,19,12,23,37.5,0,0,2,1,1.0
0,1190192,2017-09-16 12:30:00,162,18,0 : 1,0 : 1,6.50769230769231,311,410,2,3,9,5,0,15,14,17,45.6,6.98857142857143,404,503,5,4,4,5,0,15,13,17,54.4,0,1,0,1,-1.0
0,1190200,2017-09-16 15:00:00,23,96,1 : 0,2 : 1,6.93785714285714,207,291,5,3,6,7,0,25,13,22,42.1,6.60923076923077,304,405,2,4,7,5,0,15,11,43,57.9,1,0,2,1,1.0
0,1190204,2017-09-16 15:00:00,27,167,0 : 3,0 : 6,5.85357142857143,236,312,1,1,5,3,0,7,8,17,32.6,7.92785714285714,576,637,8,10,10,11,0,19,6,15,67.4,0,3,0,6,-1.0
0,1190196,2017-09-16 15:00:00,26,184,1 : 1,1 : 1,6.93769230769231,581,676,12,9,14,12,0,6,7,29,71.3,6.64785714285714,183,277,0,4,1,2,0,11,9,10,28.7,1,1,1,1,0.0
0,1190194,2017-09-16 15:00:00,166,14,0 : 0,1 : 1,6.64785714285714,383,486,6,3,6,8,0,16,6,33,59.8,6.65214285714286,247,344,5,1,4,4,0,8,6,35,40.2,0,0,1,1,0.0
0,1190207,2017-09-16 15:00:00,175,29,0 : 0,0 : 0,6.59357142857143,212,290,2,1,3,2,0,7,15,17,36.8,6.61428571428571,414,487,3,1,5,3,0,11,7,22,63.2,0,0,0,0,0.0
